REG_ENT_ID,RN,REG_ENT_NAME,CNTY_NAME,LATITUDE,LONGITUDE,CITY_NAME,PHYS_LOC_DESC_TXT,DELIV_TXT,CITY_NAME_1,USPS_STATE_CD,ZIP_CD,NEAR_CITY_NAME,LOC_ZIP_TXT
167377282001297,RN100582378,KINARD A DIVISION OF ELECTRO MOTI,TARRANT,0,0,FORT WORTH,"9320 Crowley Rd, Fort Worth, TX",9320 CROWLEY RD,FORT WORTH,TX,76134, ,76134
138377332001297,RN100582394,COMMERCIAL METALS OF FORT WORTH,TARRANT,33,-97,FORT WORTH,601 N THROCKMORTON ST FORT WORTH TX,601 N THROCKMORTON ST,FORT WORTH,TX,76164,FORT WORTH,76106
41377552001297,RN100582469,VIRBAC,TARRANT,33,-97,FORT WORTH,"3200 Meacham Blvd, Fort Worth, TX",3200 MEACHAM BLVD,FORT WORTH,TX,76137,FORT WORTH,76137
850377942001297,RN100582584,PEPSICO ARLINGTON,TARRANT,33,-97,ARLINGTON,"1000 113th St, Arlington, TX",1000 113TH ST,ARLINGTON,TX,76011,ARLINGTON,76011
618378362001297,RN100582741,ASSOCIATED RACK,TARRANT,0,0,GRAND PRAIRIE,"2501 Dalworth St, Ste 5, Grand Prairie, TX",2501 DALWORTH ST STE 5,GRAND PRAIRIE,TX,75050, ,75050
494378622001297,RN100582832,IMPORT AIR - FT WORTH TX,TARRANT,0,0,FORT WORTH,"2426 Blue Smoke Dr S, Fort Worth, TX",2426 BLUE SMOKE CT S,FORT WORTH,TX,76105, ,76105
76379792001297,RN100583244,DATSUN OF ARLINGTON,TARRANT,0,0,ARLINGTON,"608 E Division, Arlington, TX",608 E DIVISION ST,ARLINGTON,TX,76011, ,76012
319380282001297,RN100583418,BUNKER PRINTING,TARRANT,0,0,FORT WORTH,"2736 White Settlement Rd, Fort Worth, TX",2736 WHITE SETTLEMENT RD,FORT WORTH,TX,76107, ,76107
599380862001297,RN100583608,JL BERTRAM CONSTRUCTION & ENGINEERING HARRISON AVE,TARRANT,0,0,ARLINGTON,"1007 Harrison Ave, Arlington, TX",1007 HARRISON AVE,ARLINGTON,TX,76011,ARLINGTON,76011
870381552001297,RN100583772,FORT WORTH AUTO BODY,TARRANT,0,0,FORT WORTH,"215 N Grants Ln, Fort Worth, TX",215 N GRANTS LN,FORT WORTH,TX,76108, ,76108
374382652001297,RN100584127,TRUCK CENTER OF FORT WORTH,TARRANT,0,0,FORT WORTH,"3215-A Brasswell, Fort Worth, TX",3215A BRASWELL DR,FORT WORTH,TX,76106, ,76106
468382882001297,RN100584192,FUTURE EQUIPMENT EULESS,TARRANT,0,0,EULESS,"2019 W Airport Frwy, Euless, TX",2019 AIRPORT FWY,EULESS,TX,76040, ,76040
638383312001297,RN100584309,WYNN-KIKI,TARRANT,33,-97,FORT WORTH,9320 SOUTHWEST DR FT WORTH,9320 SOUTHWEST DR,FORT WORTH,TX,76134,FORT WORTH,76134
31384162001297,RN100584572,ENDURO PRODUCTS,TARRANT,0,0,ARLINGTON,"1106 Commercial Blvd N, Arlington, TX",1106 COMMERCIAL BLVD N,ARLINGTON,TX,76001, ,76017
60384192001297,RN100584598,MANUFACTURERS & SUPPLIERS,TARRANT,33,-97,RICHLAND HILLS,"7204 Burns St, Fort Worth, TX",7204 BURNS ST,RICHLAND HILLS,TX,76118,RICHLAND HILLS,76118
381384912001297,RN100584820,AEROSPACE TECHNOLOGIES,TARRANT,0,0,FORT WORTH,"5965 E Rosedale St, Fort Worth, TX",5965 E ROSEDALE ST,FORT WORTH,TX,76112, ,76112
449385072001297,RN100584879,FRANK KENT CADILLAC,TARRANT,0,0,FORT WORTH,"3800 Southwest Blvd, Fort Worth, TX",3800 SOUTHWEST BLVD,FORT WORTH,TX,76116, ,76116
505385172001297,RN100584911,ZIZZH CLEANER,TARRANT,0,0,ARLINGTON,"3415 S Cooper, Arlington, TX",3415 S COOPER ST,ARLINGTON,TX,76015, ,76015
630385402001297,RN100585017,MID AMERICA ROLLER,TARRANT,0,0,ARLINGTON,"626 112th St, Arlington, TX",626 112TH ST,ARLINGTON,TX,76011, ,76011
311387052001297,RN100585470,TEXAS COIL,TARRANT,0,0,FORT WORTH,"1933 Bomar Ave, Fort Worth, TX",1933 BOMAR AVE,FORT WORTH,TX,76103, ,76103
489387392001297,RN100585603,HAYGOOD-TRUCK PRO,TARRANT,0,0,FORT WORTH,"2457 E Long Ave, Fort Worth, TX",2457 E LONG AVE,FORT WORTH,TX,76106, ,76106
725387952001297,RN100585769,TEXAS ULTRA GLOSS,TARRANT,0,0,FORT WORTH,"3825 E Loop 820 S, Fort Worth, TX",3825 E LOOP 820 S,FORT WORTH,TX,76119, ,76119
746387982001297,RN100585777,PBI INDUSTRIES,TARRANT,0,0,FORT WORTH, ,2400 NE 36TH ST,FORT WORTH,TX,76111, ,76111
34388632001297,RN100585975,DODSON WASTE OIL,TARRANT,0,0,FORT WORTH,"3056 Seminary, Fort Worth, TX",3056 W SEMINARY DR,FORT WORTH,TX,76133, ,76133
111388792001297,RN100586031,SHORELINE PRODUCTS,TARRANT,0,0,ARLINGTON,"921 W Mayfield Rd, Arlington, TX",921 W MAYFIELD RD,ARLINGTON,TX,76015,ARLINGTON,76105
159388872001297,RN100586064,NOVIKOFF FURNITURE,TARRANT,33,-97,FORT WORTH,LOCATED AT CORNER OF E RICHMOND AVE AND MCCURDY ST IN FORT WORTH TX,2100 E RICHMOND AVE,FORT WORTH,TX,76104,FORT WORTH,75104
258389112001297,RN100586148,BYAM PROPELER SERVICE,TARRANT,0,0,FORT WORTH,"504 NW 35th St, Fort Worth, TX",504 NW 35TH ST,FORT WORTH,TX,76106, ,76106
332389222001297,RN100586197,SEPCO INDUST,TARRANT,0,0,HALTOM CITY,"4308 Murray Avenue, Haltom City, TX  76117",4308 MURRAY AVE,HALTOM CITY,TX,76117, ,76117
357389282001297,RN100586213,THE BARR PRINTERS,TARRANT,0,0,FORT WORTH, ,1000 MACON ST,FORT WORTH,TX,76102, ,76102
461389502001297,RN100586270,TEXAS CHRISTIAN UNIVERSITY,TARRANT,0,0,FORT WORTH,"2800 S University, Fort Worth, TX",2800 S UNIVERSITY DR,FORT WORTH,TX,76129, ,76129
482389552001297,RN100586288,TEXAS TYPESETTING,TARRANT,0,0,ARLINGTON,"303 S Collins St, Arlington, TX",303 S COLLINS ST,ARLINGTON,TX,76010, ,76010
564389772001297,RN100586338,OHMSTEDE,TARRANT,0,0,FORT WORTH,308 ARTHUR ST FORT WORTH TX,308 ARTHUR ST,FORT WORTH,TX,76107, ,76107
206391182001297,RN100586783,SOUTHWESTERN PETROLEUM,TARRANT,32,-97,FORT WORTH,"3428 Deen Rd, Fort Worth, TX",3428 DEEN RD,FORT WORTH,TX,76106,FORT WORTH,76106
